date,home,away,mkt_home,mkt_draw,mkt_away,source
2026-06-13,Qatar,Switzerland,0.06674540357957828,0.1465341837365398,0.7867204126838818,the-odds-api (live consensus)
2026-06-13,Brazil,Morocco,0.5736872443797865,0.2521204468721693,0.17419230874804426,the-odds-api (live consensus)
2026-06-14,Haiti,Scotland,0.15979754157628345,0.22559652928416488,0.6146059291395517,the-odds-api (live consensus)
2026-06-14,Australia,Turkey,0.1863252519749387,0.252519749387088,0.5611549986379732,the-odds-api (live consensus)
2026-06-14,Germany,Curaçao,0.920350710399831,0.05630380816563672,0.0233454814345323,the-odds-api (live consensus)
2026-06-14,Netherlands,Japan,0.4834776462272486,0.2652412086941156,0.2512811450786358,the-odds-api (live consensus)
2026-06-14,Ivory Coast,Ecuador,0.26501877346683356,0.34073842302878604,0.3942428035043805,the-odds-api (live consensus)
2026-06-15,Sweden,Tunisia,0.5031430726678401,0.2770932863967815,0.21976364093537845,the-odds-api (live consensus)
2026-06-15,Spain,Cape Verde,0.8790921979084486,0.08405355225615868,0.036854249835392656,the-odds-api (live consensus)
2026-06-15,Belgium,Egypt,0.5943536404160475,0.23922734026745915,0.1664190193164933,the-odds-api (live consensus)
2026-06-15,Saudi Arabia,Uruguay,0.11687038012386262,0.21296380378126076,0.6701658160948766,the-odds-api (live consensus)
2026-06-16,Iran,New Zealand,0.5251805308074651,0.27459439182218887,0.20022507737034606,the-odds-api (live consensus)
2026-06-16,France,Senegal,0.6506817880490765,0.2173868700982142,0.1319313418527093,the-odds-api (live consensus)
2026-06-16,Iraq,Norway,0.06598586017282011,0.13668499607227022,0.7973291437549097,the-odds-api (live consensus)
2026-06-17,Argentina,Algeria,0.685595567867036,0.20775623268698062,0.10664819944598337,the-odds-api (live consensus)
2026-06-17,Austria,Jordan,0.7212193594139495,0.17440395418555507,0.10437668640049542,the-odds-api (live consensus)
2026-06-17,Portugal,DR Congo,0.7457538417622152,0.16746752937818163,0.08677862885960322,the-odds-api (live consensus)
2026-06-17,England,Croatia,0.555405148595904,0.2508749104623796,0.19371994094171652,the-odds-api (live consensus)
2026-06-17,Ghana,Panama,0.44405969475130325,0.28080245403391235,0.27513785121478446,the-odds-api (live consensus)
2026-06-18,Uzbekistan,Colombia,0.10597000294088811,0.20292128222723257,0.6911087148318792,the-odds-api (live consensus)
2026-06-18,Czech Republic,South Africa,0.5441639404975002,0.25060181470279613,0.20523424479970376,the-odds-api (live consensus)
2026-06-18,Switzerland,Bosnia and Herzegovina,0.602091883338265,0.23632106421026902,0.161587052451466,the-odds-api (live consensus)
2026-06-18,Canada,Qatar,0.729949904893441,0.17920097191222864,0.09084912319433025,the-odds-api (live consensus)
2026-06-19,Mexico,South Korea,0.4807845638654122,0.2841652049114973,0.2350502312230904,the-odds-api (live consensus)
2026-06-19,United States,Australia,0.5929298339582217,0.23138725227637927,0.17568291376539905,the-odds-api (live consensus)
2026-06-19,Scotland,Morocco,0.23088192206270144,0.28860240257837677,0.48051567535892176,the-odds-api (live consensus)
2026-06-20,Brazil,Haiti,0.8894870270101092,0.07769396888986259,0.032819004100028165,the-odds-api (live consensus)
2026-06-20,Turkey,Paraguay,0.46075713887080283,0.29517254208910804,0.2440703190400893,the-odds-api (live consensus)
2026-06-20,Netherlands,Sweden,0.5845695692935532,0.23675067556388904,0.17867975514255777,the-odds-api (live consensus)
2026-06-20,Germany,Ivory Coast,0.6132313594830633,0.21962239386137614,0.1671462466555606,the-odds-api (live consensus)
2026-06-21,Ecuador,Curaçao,0.7969271956217868,0.1399049965647137,0.0631678078134995,the-odds-api (live consensus)
