team,p_model,p_market
Argentina,0.17114,0.0797040506397771
Spain,0.14802,0.16140043028873605
France,0.12452,0.16706742466972266
England,0.07068,0.10002924313220635
Brazil,0.05638,0.08708555125318572
Portugal,0.04822,0.10002924313220635
Colombia,0.04142,0.013238499790220775
Germany,0.03758,0.05130045538056991
Netherlands,0.031,0.045090726267535804
Norway,0.02814,0.02340086632035744
Mexico,0.02632,0.014275791252558644
Morocco,0.02372,0.014275791252558644
United States,0.023,0.018273892419455016
Japan,0.0185,0.014275791252558644
Ecuador,0.0163,0.00835654258857651
Croatia,0.01622,0.006537541788375726
Belgium,0.01604,0.020297680957837187
Uruguay,0.01268,0.009207909691205088
Australia,0.01218,0.002037877343310436
Switzerland,0.01118,0.01086442887795657
Austria,0.01084,0.0034813813539570897
South Korea,0.0083,0.0026494657597582838
Ivory Coast,0.00726,0.0027312132711611865
Canada,0.0068,0.0017535234957435609
Senegal,0.00604,0.006537541788375726
Turkey,0.00558,0.009207909691205088
Scotland,0.00396,0.0026494657597582838
Sweden,0.00364,0.0032284211437862732
Algeria,0.00288,0.0013487495695223976
Iran,0.00236,0.0011833808313761636
Egypt,0.0023,0.0012890810544466914
Panama,0.00156,0.0008831217758069269
Paraguay,0.00148,0.0022454969073701435
Czech Republic,0.00126,0.001484900985459334
Uzbekistan,0.00104,0.0007037496500807599
DR Congo,0.00042,0.0010116264265117698
New Zealand,0.00024,0.0007037496500807599
Bosnia and Herzegovina,0.00024,0.0011378383889168219
Ghana,0.00014,0.0010681040516138294
Saudi Arabia,0.00012,0.0008831217758069269
Haiti,8e-05,0.0008831217758069269
Jordan,8e-05,0.0005845848021857221
Cape Verde,4e-05,0.0008831217758069269
South Africa,4e-05,0.0011833808313761636
Iraq,4e-05,0.0008831217758069269
Qatar,2e-05,0.0008831217758069269
Curaçao,0.0,0.0005845848021857221
Tunisia,0.0,0.0011833808313761636
