team,elo,value_eur_m,rating_blended
Argentina,2219.7,818.5,2171.4
Spain,2197.9,1260.0,2166.3
France,2153.5,1525.9,2138.0
England,2094.8,1310.0,2090.0
Brazil,2072.4,912.2,2063.8
Portugal,2052.0,1020.0,2051.4
Colombia,2090.7,305.1,2049.1
Germany,2033.8,998.0,2037.2
Netherlands,2037.7,837.2,2035.5
Norway,2014.8,601.0,2009.7
Morocco,2010.2,488.2,2000.9
Japan,2011.0,278.8,1987.0
Mexico,2003.7,194.6,1972.1
Croatia,1958.5,385.7,1956.1
Ecuador,1957.3,376.2,1954.4
Belgium,1939.5,542.9,1950.6
Switzerland,1951.3,333.6,1946.8
Uruguay,1935.0,405.8,1939.7
United States,1920.6,378.0,1927.1
Austria,1906.0,271.6,1907.5
Turkey,1881.7,494.2,1904.8
Senegal,1870.1,472.9,1895.0
Algeria,1887.4,257.6,1892.2
Paraguay,1901.3,157.15,1889.8
Canada,1889.1,203.05,1887.3
Australia,1913.5,73.6,1879.2
South Korea,1888.6,142.3,1877.7
Ivory Coast,1842.4,530.9,1877.2
Egypt,1856.2,134.7,1852.0
Scotland,1843.7,176.2,1849.6
Iran,1888.6,32.6,1839.4
Sweden,1792.9,428.0,1834.5
Czech Republic,1768.5,190.18,1795.1
DR Congo,1772.8,149.0,1792.0
Uzbekistan,1776.3,78.73,1778.1
Panama,1788.7,34.83,1766.2
Ghana,1697.0,230.88,1746.6
Cape Verde,1699.7,56.2,1711.9
New Zealand,1710.5,35.3,1707.9
Saudi Arabia,1706.1,37.1,1705.9
Bosnia and Herzegovina,1655.2,149.2,1703.9
Jordan,1724.5,19.83,1703.5
Haiti,1679.5,55.6,1696.5
Tunisia,1669.6,69.4,1694.8
Iraq,1707.7,21.1,1692.5
South Africa,1664.3,45.8,1680.0
Curaçao,1620.6,26.0,1632.5
Qatar,1577.5,19.93,1593.3
