date,home,away,pick,side,model_p,odds,ev_pct,kelly_pct,book
2026-06-14,Germany,Curaçao,Germany vs Curaçao · 负,away,0.0749,41.0,207.1,5.2,the-odds-api (live consensus)
2026-06-14,Germany,Curaçao,Germany vs Curaçao · 平,draw,0.1754,17.0,198.2,12.4,the-odds-api (live consensus)
2026-06-19,Brazil,Haiti,Brazil vs Haiti · 负,away,0.089,29.0,158.1,5.6,the-odds-api (live consensus)
2026-06-19,Brazil,Haiti,Brazil vs Haiti · 平,draw,0.1926,12.25,135.9,12.1,the-odds-api (live consensus)
2026-06-16,Iraq,Norway,Iraq vs Norway · 胜,home,0.1378,14.5,99.8,7.4,the-odds-api (live consensus)
2026-06-16,Austria,Jordan,Austria vs Jordan · 负,away,0.2132,9.19,95.9,11.7,the-odds-api (live consensus)
2026-06-21,Belgium,Iran,Belgium vs Iran · 负,away,0.2425,7.8,89.1,13.1,the-odds-api (live consensus)
2026-06-17,Ghana,Panama,Ghana vs Panama · 负,away,0.486,3.47,68.6,27.8,the-odds-api (live consensus)
2026-06-19,United States,Australia,United States vs Australia · 负,away,0.3108,5.4,67.8,15.4,the-odds-api (live consensus)
2026-06-16,Iraq,Norway,Iraq vs Norway · 平,draw,0.2379,7.0,66.5,11.1,the-odds-api (live consensus)
2026-06-16,Austria,Jordan,Austria vs Jordan · 平,draw,0.2797,5.5,53.8,12.0,the-odds-api (live consensus)
2026-06-17,Portugal,DR Congo,Portugal vs DR Congo · 负,away,0.1367,11.0,50.4,5.0,the-odds-api (live consensus)
2026-06-21,Belgium,Iran,Belgium vs Iran · 平,draw,0.2894,4.7,36.0,9.7,the-odds-api (live consensus)
2026-06-17,Uzbekistan,Colombia,Uzbekistan vs Colombia · 胜,home,0.1509,9.0,35.8,4.5,the-odds-api (live consensus)
2026-06-17,Portugal,DR Congo,Portugal vs DR Congo · 平,draw,0.2372,5.7,35.2,7.5,the-odds-api (live consensus)
2026-06-16,France,Senegal,France vs Senegal · 负,away,0.1851,7.25,34.2,5.5,the-odds-api (live consensus)
